"quants","quant","impact"
0,"1%","nutrient_2012.tif"
0,"5%","nutrient_2012.tif"
0,"50%","nutrient_2012.tif"
0,"95%","nutrient_2012.tif"
0.031552239321172,"99%","nutrient_2012.tif"
