"quants","quant","impact"
0,"1%","art_fish_2011.tif"
0,"5%","art_fish_2011.tif"
0,"50%","art_fish_2011.tif"
0,"95%","art_fish_2011.tif"
0.115976296365261,"99%","art_fish_2011.tif"
