"quants","quant","impact"
0,"1%","dem_nondest_hb_2004.tif"
0,"5%","dem_nondest_hb_2004.tif"
2.67735714487571e-07,"50%","dem_nondest_hb_2004.tif"
0.00779376504942775,"95%","dem_nondest_hb_2004.tif"
0.067139521241188,"99%","dem_nondest_hb_2004.tif"
