"quants","quant","impact"
0,"1%","uv_2012.tif"
0,"5%","uv_2012.tif"
0,"50%","uv_2012.tif"
0.267768158218041,"95%","uv_2012.tif"
0.396957364750186,"99%","uv_2012.tif"
