"quants","quant","impact"
0,"1%","sst_2011.tif"
0,"5%","sst_2011.tif"
0.48515625,"50%","sst_2011.tif"
1.4765625,"95%","sst_2011.tif"
1.9296875,"99%","sst_2011.tif"
