"quants","quant","impact"
0,"1%","sst_2005.tif"
0,"5%","sst_2005.tif"
0.246875,"50%","sst_2005.tif"
1.20234375,"95%","sst_2005.tif"
1.6875,"99%","sst_2005.tif"
