"quants","quant","impact"
0,"1%","art_fish_2005.tif"
0,"5%","art_fish_2005.tif"
0,"50%","art_fish_2005.tif"
0,"95%","art_fish_2005.tif"
0.118499495973909,"99%","art_fish_2005.tif"
