"quants","quant","impact"
0,"1%","nutrient_2013.tif"
0,"5%","nutrient_2013.tif"
0,"50%","nutrient_2013.tif"
0,"95%","nutrient_2013.tif"
0.0337647714982133,"99%","nutrient_2013.tif"
