"quants","quant","impact"
0,"1%","dem_nondest_lb_2003.tif"
0,"5%","dem_nondest_lb_2003.tif"
0,"50%","dem_nondest_lb_2003.tif"
0.00159757318478938,"95%","dem_nondest_lb_2003.tif"
0.036401896290465,"99%","dem_nondest_lb_2003.tif"
