"quants","quant","impact"
0,"1%","benthic_str_2012.tif"
0,"5%","benthic_str_2012.tif"
0,"50%","benthic_str_2012.tif"
0,"95%","benthic_str_2012.tif"
0,"99%","benthic_str_2012.tif"
