"quants","quant","impact"
0,"1%","pel_hb_2011.tif"
0,"5%","pel_hb_2011.tif"
0.000387656269595027,"50%","pel_hb_2011.tif"
0.0328555814921856,"95%","pel_hb_2011.tif"
0.221568211913109,"99%","pel_hb_2011.tif"
