"quants","quant","impact"
0,"1%","art_fish_2007.tif"
0,"5%","art_fish_2007.tif"
0,"50%","art_fish_2007.tif"
0,"95%","art_fish_2007.tif"
0.11953258467849,"99%","art_fish_2007.tif"
