"quants","quant","impact"
0,"1%","pel_lb_2007.tif"
0,"5%","pel_lb_2007.tif"
2.35002207773505e-05,"50%","pel_lb_2007.tif"
0.00268500484526157,"95%","pel_lb_2007.tif"
0.0146677754819393,"99%","pel_lb_2007.tif"
