"quants","quant","impact"
0,"1%","uv_2011.tif"
0,"5%","uv_2011.tif"
0,"50%","uv_2011.tif"
0.208401203155518,"95%","uv_2011.tif"
0.316068887710571,"99%","uv_2011.tif"
