"habitat","mean","impact"
"suspension_reef",-1.87613337457872e-05,"pel_lb"
"surface_waters",-7.28780666417339e-06,"pel_lb"
"s_t_s_bottom",-8.95813585335637e-06,"pel_lb"
"soft_slope",-3.45225284139611e-05,"pel_lb"
"soft_shelf",-0.000131799835787028,"pel_lb"
"seamounts",2.38067505051208e-06,"pel_lb"
"seagrass",4.78029453286956e-05,"pel_lb"
"salt_marsh",-1.87613337457872e-05,"pel_lb"
"rocky_reef",-1.56395611191867e-05,"pel_lb"
"rky_intidal",-1.87613337457872e-05,"pel_lb"
"mangroves",4.75001717178371e-06,"pel_lb"
"kelp",-0.000157824028469857,"pel_lb"
"inttidalmud",-1.87613337457872e-05,"pel_lb"
"ice",-7.06394140027555e-06,"pel_lb"
"ice",-2.04476361911467e-05,"pel_lb"
"hard_slope",-1.8289614730852e-05,"pel_lb"
"hard_shelf",-7.24655693531941e-05,"pel_lb"
"d_s_benthic",6.35422015184559e-07,"pel_lb"
"d_h_bottom",-3.58361333489133e-07,"pel_lb"
"deep_waters",-7.28780666417339e-06,"pel_lb"
"coral_reef",1.38341068124423e-05,"pel_lb"
"beach",-1.87613337457872e-05,"pel_lb"
