"habitat","mean","impact"
"suspension_reef",-0.00123567203035281,"art_fish"
"surface_waters",-2.89364076829578e-05,"art_fish"
"s_t_s_bottom",-0.000187237825988753,"art_fish"
"soft_slope",-7.41092589782977e-05,"art_fish"
"soft_shelf",-0.000271465881429618,"art_fish"
"seamounts",-5.06870845831182e-05,"art_fish"
"seagrass",-0.0019144371903345,"art_fish"
"salt_marsh",-0.00123567203035281,"art_fish"
"rocky_reef",-0.00352097695096419,"art_fish"
"rky_intidal",-0.00123567203035281,"art_fish"
"mangroves",-0.00213567382758254,"art_fish"
"kelp",-0.000613468270096153,"art_fish"
"inttidalmud",-0.00123567203035281,"art_fish"
"ice",-4.34661869458611e-05,"art_fish"
"ice",-9.62951249485564e-06,"art_fish"
"hard_slope",-0.000315021548838564,"art_fish"
"hard_shelf",-0.00115652595048088,"art_fish"
"d_s_benthic",-3.90524333601965e-06,"art_fish"
"d_h_bottom",-1.1096604052783e-05,"art_fish"
"deep_waters",-2.89364076829578e-05,"art_fish"
"coral_reef",-0.00216285444693799,"art_fish"
"beach",-0.00123567203035281,"art_fish"
