"habitat","mean","impact"
"suspension_reef",-0.000282866817035829,"dem_dest"
"surface_waters",-0.000101494500912198,"dem_dest"
"s_t_s_bottom",-0.000823813801360074,"dem_dest"
"soft_slope",-0.000791493519196326,"dem_dest"
"soft_shelf",-0.000908038436279101,"dem_dest"
"seamounts",7.32238567138077e-06,"dem_dest"
"seagrass",-0.000218172738375843,"dem_dest"
"salt_marsh",-0.000282866817035829,"dem_dest"
"rocky_reef",-0.000415560018464811,"dem_dest"
"rky_intidal",-0.000282866817035829,"dem_dest"
"mangroves",0.000566457024132952,"dem_dest"
"kelp",0.000490897720436947,"dem_dest"
"inttidalmud",-0.000282866817035829,"dem_dest"
"ice",-0.000118657699546702,"dem_dest"
"ice",-9.33501191280235e-05,"dem_dest"
"hard_slope",-0.000148327046780386,"dem_dest"
"hard_shelf",-0.00125328700522303,"dem_dest"
"d_s_benthic",9.34864873663232e-06,"dem_dest"
"d_h_bottom",2.1481697012468e-05,"dem_dest"
"deep_waters",-0.000101494500912198,"dem_dest"
"coral_reef",-0.000151283821661608,"dem_dest"
"beach",-0.000282866817035829,"dem_dest"
