"habitat","mean","impact"
"suspension_reef",-0.00024052166980255,"dem_nondest_lb"
"surface_waters",-7.50364631354306e-06,"dem_nondest_lb"
"s_t_s_bottom",-0.000532819882797351,"dem_nondest_lb"
"soft_slope",1.52483955099488e-05,"dem_nondest_lb"
"soft_shelf",-8.90422521225357e-05,"dem_nondest_lb"
"seamounts",-1.66416771828159e-06,"dem_nondest_lb"
"seagrass",-0.000235127241388474,"dem_nondest_lb"
"salt_marsh",-0.00024052166980255,"dem_nondest_lb"
"rocky_reef",0.000108634731427115,"dem_nondest_lb"
"rky_intidal",-0.00024052166980255,"dem_nondest_lb"
"mangroves",-0.000300688874595615,"dem_nondest_lb"
"kelp",0.00021822494042645,"dem_nondest_lb"
"inttidalmud",-0.00024052166980255,"dem_nondest_lb"
"ice",-2.07643290402794e-05,"dem_nondest_lb"
"ice",2.00521964093881e-06,"dem_nondest_lb"
"hard_slope",-4.73622320638431e-05,"dem_nondest_lb"
"hard_shelf",-0.000188660901824929,"dem_nondest_lb"
"d_s_benthic",1.872777082096e-06,"dem_nondest_lb"
"d_h_bottom",-5.48212088179556e-07,"dem_nondest_lb"
"deep_waters",-7.50364631354306e-06,"dem_nondest_lb"
"coral_reef",4.61746000468914e-06,"dem_nondest_lb"
"beach",-0.00024052166980255,"dem_nondest_lb"
