"habitat","impact","trend"
"surface_waters","art_fish_trend",1.48529377478721e-05
"surface_waters","dem_dest_trend",-2.7944043161405e-05
"surface_waters","dem_nondest_hb_trend",1.84143965401778e-06
"surface_waters","dem_nondest_lb_trend",8.20582777141465e-06
"surface_waters","direct_human_trend",1.36095327132076e-07
"surface_waters","light_trend",3.77165909062601e-06
"surface_waters","nutrient_trend",1.85490507351287e-06
"surface_waters","oa_trend",0.00956059876790365
"surface_waters","organic_trend",3.18782714136014e-06
"surface_waters","pel_hb_trend",2.62255111898946e-05
"surface_waters","pel_lb_trend",-4.30577378348872e-06
"surface_waters","shipping_trend",0.00543072882926564
"surface_waters","slr_trend",0
"surface_waters","sst_trend",0.0410144119615189
