"KNBpackage","year","data_stage","filepath","new_file_name","data_name"
"SST","2003","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_1999-2003.tif","sst_2003_raw.tif","SST data for year 2003 (raw)"
"SST","2004","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2000-2004.tif","sst_2004_raw.tif","SST data for year 2004 (raw)"
"SST","2005","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2001-2005.tif","sst_2005_raw.tif","SST data for year 2005 (raw)"
"SST","2006","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2002-2006.tif","sst_2006_raw.tif","SST data for year 2006 (raw)"
"SST","2007","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2003-2007.tif","sst_2007_raw.tif","SST data for year 2007 (raw)"
"SST","2008","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2004-2008.tif","sst_2008_raw.tif","SST data for year 2008 (raw)"
"SST","2009","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2005-2009.tif","sst_2009_raw.tif","SST data for year 2009 (raw)"
"SST","2010","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2006-2010.tif","sst_2010_raw.tif","SST data for year 2010 (raw)"
"SST","2011","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2007-2011.tif","sst_2011_raw.tif","SST data for year 2011 (raw)"
"SST","2012","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2008-2012.tif","sst_2012_raw.tif","SST data for year 2012 (raw)"
"SST","2013","raw","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/int/sst_diff_2009-2013.tif","sst_2013_raw.tif","SST data for year 2013 (raw)"
"SST","2003","rescaled","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/final/sst_2003_rescaled_mol.tif","sst_2003_rescaled.tif","SST data for year 2003 (rescaled)"
"SST","2004","rescaled","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/final/sst_2004_rescaled_mol.tif","sst_2004_rescaled.tif","SST data for year 2004 (rescaled)"
"SST","2005","rescaled","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/final/sst_2005_rescaled_mol.tif","sst_2005_rescaled.tif","SST data for year 2005 (rescaled)"
"SST","2006","rescaled","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/final/sst_2006_rescaled_mol.tif","sst_2006_rescaled.tif","SST data for year 2006 (rescaled)"
"SST","2007","rescaled","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/final/sst_2007_rescaled_mol.tif","sst_2007_rescaled.tif","SST data for year 2007 (rescaled)"
"SST","2008","rescaled","/home/shares/ohi/git-annex/impact_acceleration/stressors/sst/final/sst_2008_rescaled_mol.tif","sst_2008_rescaled.tif","SST data for year 2008 (rescaled)"
