"X.1","X1","X2","X0"
2143,6,6218,NA
2140,7,6218,NA
2138,8,6223,NA
2137,8,6230,NA
2135,8,6229,NA
2246,9,6294,NA
2247,9,6286,NA
2263,10,6185,NA
2264,11,6187,NA
2266,11,6191,NA
2277,13,6301,NA
2277,14,6307,NA
2277,16,6303,NA
2273,17,6306,NA
2276,14,6304,NA
2269,13,6290,NA
2158,10,6188,NA
2162,10,6190,NA
2160,9,6175,NA
2159,9,6174,NA
2177,8,6081,NA
2245,6,6177,NA
2245,6,6166,NA
2248,5,6172,NA
2245,6,6169,NA
2246,6,6178,NA
2244,7,6186,NA
2198,4,6011,NA
2201,4,6014,NA
2202,6,6019,NA
2202,5,6018,NA
2202,4,6035,NA
2282,4,6000,NA
2164,4,6068,NA
2164,3,6078,NA
2162,1,6078,NA
2161,3,6073,NA
2158,3,6081,NA
2215,16,6287,NA
2214,15,6285,NA
2211,15,6292,NA
2214,14,6298,NA
2212,14,6301,NA
2134,17,6250,NA
2133,17,6237,NA
2136,16,6230,NA
2185,8,6281,NA
2184,9,6280,NA
2187,8,6269,NA
2234,17,6259,NA
2243,19,6275,NA
2244,18,6281,NA
2243,17,6282,NA
2246,18,6288,NA
2291,15,6237,NA
2294,16,6244,NA
2293,15,6243,NA
2296,15,6254,NA
2297,15,6271,NA
2301,7,6215,NA
2258,4,6213,NA
2250,4,6213,NA
2251,5,6229,NA
2248,6,6228,NA
2246,7,6237,NA
2252,7,6007,NA
2253,9,6005,NA
2255,9,6019,NA
2250,12,6023,NA
2255,13,6039,NA
2255,10,6043,NA
2338,14,5976,NA
2343,20,5946,NA
2343,22,5950,NA
2346,24,5946,NA
2344,23,5950,NA
2463,17,6121,NA
2462,17,6111,NA
2460,16,6111,NA
2458,18,6118,NA
2458,19,6121,NA
2457,17,6115,NA
2442,6,6064,NA
2443,6,6056,NA
2443,6,6049,NA
2320,3,6089,NA
2322,2,6084,NA
2317,12,5912,NA
2322,11,5915,NA
2323,11,5914,NA
2330,9,5900,NA
2330,8,5902,NA
2334,8,5899,NA
2442,8,5929,NA
2437,8,5945,NA
2433,8,5969,NA
2432,8,5983,NA
2429,6,5988,NA
2517,7,5955,NA
2519,6,5954,NA
2517,6,5945,NA
2519,6,5935,NA
2522,6,5931,NA
2520,6,5923,NA
2452,20,5965,NA
2452,21,5967,NA
2447,24,5961,NA
2443,25,5941,NA
2448,25,5938,NA
2572,10,5935,NA
2571,9,5931,NA
2547,12,5932,NA
2547,14,5923,NA
2547,16,5942,NA
2548,17,5935,NA
2651,8,6132,NA
2657,13,6130,NA
2654,14,6147,NA
2655,8,6140,NA
2657,14,6154,NA
2674,11,5866,NA
2674,11,5862,NA
2825,14,5892,NA
2824,22,5894,NA
2830,29,5926,NA
2833,29,5927,NA
2708,18,6040,NA
2700,16,6045,NA
2703,16,6043,NA
2703,18,6054,NA
2705,14,6059,NA
2666,17,5893,NA
2661,15,5899,NA
2665,15,5916,NA
2662,11,5910,NA
2661,12,5907,NA
2663,15,5896,NA
2762,10,5914,NA
2822,9,5860,NA
2824,10,5859,NA
2827,10,5869,NA
2825,10,5870,NA
2751,12,5847,NA
2755,13,5859,NA
2756,14,5875,NA
2764,14,5871,NA
2769,17,5886,NA
2770,14,5898,NA
2788,25,5790,NA
2789,25,5778,NA
2792,28,5807,NA
2663,20,6023,NA
2667,19,6023,NA
2587,7,6107,NA
2590,5,6110,NA
2588,7,6106,NA
2586,7,6108,NA
2588,5,6092,NA
2590,7,6100,NA
2636,12,5977,NA
2636,18,5971,NA
2635,23,5962,NA
2639,31,5969,NA
2638,31,5965,NA
2707,37,5985,NA
2706,32,5984,NA
2706,31,5985,NA
2708,34,5995,NA
2707,35,5996,NA
2709,34,5991,NA
2635,25,5973,NA
2635,22,5968,NA
2633,26,5978,NA
2633,25,5978,NA
2629,28,5969,NA
2634,34,5980,NA
2637,35,5974,NA
2716,36,5867,NA
2716,36,5859,NA
2712,37,5860,NA
2718,35,5854,NA
2688,32,5677,NA
2682,30,5678,NA
2684,29,5681,NA
2688,27,5683,NA
2685,21,5687,NA
2716,13,5833,NA
2716,14,5836,NA
2715,12,5827,NA
2714,10,5823,NA
2669,9,5922,NA
2668,7,5934,NA
2710,4,5934,NA
2711,1,5933,NA
2710,4,5933,NA
2710,1,5929,NA
2712,NA,5920,NA
2530,3,5939,NA
2532,3,5927,NA
2535,3,5934,NA
2536,3,5926,NA
2533,4,5924,NA
2535,10,5925,NA
2719,11,5823,NA
2720,12,5825,NA
2723,15,5814,NA
2720,14,5810,NA
2716,15,5811,NA
2792,6,5892,NA
2786,8,5896,NA
2786,9,5898,NA
2784,10,5895,NA
2779,16,5892,NA
2779,20,5894,NA
2785,15,5838,NA
2784,11,5830,NA
2826,11,5790,NA
2831,13,5783,NA
2827,13,5781,NA
2830,11,5793,NA
2880,15,5751,NA
2881,13,5750,NA
2885,12,5761,NA
2887,13,5759,NA
2887,9,5749,NA
2928,5,5802,NA
2940,2,5807,NA
2933,1,5791,NA
2935,1,5789,NA
2761,1,5848,NA
2761,1,5832,NA
2817,1,5975,NA
2813,1,5968,NA
2808,1,5964,NA
2809,NA,5959,NA
2813,NA,5957,NA
2702,1,5860,NA
2703,NA,5860,NA
2705,NA,5858,NA
2784,NA,5846,NA
2784,NA,5838,NA
2789,NA,5844,NA
2904,NA,5807,NA
2903,1,5814,NA
2903,1,5814,NA
2904,2,5815,NA
2903,NA,5815,NA
3045,NA,6113,NA
3046,NA,6105,NA
3049,NA,6106,NA
3048,NA,6098,NA
3046,NA,6099,NA
3046,NA,6110,NA
3050,NA,5939,NA
3051,NA,5929,NA
3089,NA,5758,NA
3088,NA,5743,NA
3089,NA,5751,NA
3070,6,5731,NA
3066,4,5738,NA
3068,7,5748,NA
3069,6,5761,NA
3069,5,5756,NA
3071,8,5768,NA
3074,2,5835,NA
3076,4,5842,NA
3072,4,5854,NA
3074,7,5864,NA
3074,5,5878,NA
2909,16,5955,NA
