"X.1","X0","X2","X1"
366,22,1072,NA
335,8,1054,NA
341,8,1053,NA
340,8,1055,NA
342,8,1067,NA
344,8,1061,NA
310,5,1082,NA
297,1,1104,NA
299,1,1099,NA
303,1,1096,NA
303,1,1100,NA
305,1,1096,NA
320,4,1006,NA
320,4,1000,NA
322,4,999,NA
323,4,1008,NA
326,4,1002,NA
327,4,995,NA
332,NA,1075,NA
394,4,1041,NA
395,4,1038,NA
394,4,1040,NA
394,4,1047,NA
361,10,1098,1
362,10,1099,NA
361,10,1100,1
360,10,1104,1
360,10,1101,2
360,10,1101,3
318,8,1178,7
319,8,1175,9
315,8,1174,10
316,8,1182,13
317,8,1187,13
356,8,1271,12
353,8,1260,12
356,8,1256,12
357,8,1255,12
356,8,1254,11
358,8,1255,11
361,10,1254,13
363,10,1250,13
361,10,1258,13
359,10,1258,12
358,10,1261,16
391,14,1262,16
375,11,1239,17
377,11,1243,18
374,11,1251,16
376,11,1246,17
379,11,1237,19
363,8,1225,28
362,8,1221,28
365,8,1217,28
362,8,1213,26
367,8,1213,27
367,18,1172,7
366,18,1161,8
364,18,1161,7
361,22,1167,7
363,22,1163,7
369,22,1159,6
329,17,1195,6
332,17,1199,4
339,17,1200,2
345,17,1200,1
291,NA,1254,1
262,NA,1171,2
269,NA,1168,1
273,NA,1173,5
270,NA,1171,10
271,NA,1170,9
289,3,1233,9
265,9,1162,13
267,9,1159,14
264,9,1158,13
265,9,1152,13
266,9,1150,13
243,NA,1241,13
250,NA,1243,13
241,NA,1235,12
232,NA,1234,12
233,NA,1245,12
219,NA,1246,12
210,NA,1193,12
219,NA,1190,12
216,NA,1196,5
212,NA,1203,3
223,NA,1205,3
204,NA,1201,4
294,NA,1144,4
291,NA,1140,4
290,NA,1140,3
290,NA,1136,4
292,NA,1136,6
247,NA,1206,5
249,NA,1206,7
248,NA,1204,7
179,10,1262,9
172,10,1262,10
176,10,1270,13
190,NA,1184,9
192,NA,1179,9
194,NA,1194,10
189,NA,1201,11
186,NA,1198,15
208,NA,1221,13
208,NA,1223,16
210,NA,1232,19
210,NA,1236,19
207,NA,1233,23
214,NA,1283,23
263,3,1101,24
262,3,1106,30
262,3,1107,33
264,3,1111,37
261,3,1103,37
332,NA,1184,34
331,NA,1176,34
334,NA,1175,35
336,NA,1180,36
336,NA,1169,38
337,NA,1170,42
387,NA,1121,NA
370,2,1130,NA
373,2,1133,NA
376,2,1136,NA
374,2,1133,NA
311,NA,1137,NA
310,NA,1124,NA
313,NA,1118,NA
305,NA,1111,NA
306,NA,1113,NA
307,NA,1113,NA
368,5,985,NA
373,5,977,NA
369,5,975,NA
397,NA,952,2
400,NA,954,1
394,5,1102,4
397,5,1081,3
396,5,1082,1
390,5,1077,NA
386,5,1065,NA
385,5,1065,NA
415,4,1050,NA
423,4,1045,NA
422,4,1048,NA
413,4,1031,NA
414,4,1031,NA
368,4,1117,NA
372,4,1119,NA
374,4,1112,NA
375,4,1114,NA
374,4,1118,NA
369,4,1119,NA
335,NA,1181,NA
338,NA,1185,NA
341,NA,1189,NA
344,NA,1194,1
342,NA,1192,3
362,NA,1202,5
365,NA,1202,7
323,NA,1185,10
322,NA,1185,12
318,NA,1168,15
318,NA,1167,17
330,2,1141,18
329,2,1141,20
326,2,1135,22
329,2,1136,24
327,2,1134,25
314,NA,1270,26
312,NA,1264,26
309,NA,1264,27
314,NA,1260,27
331,NA,1285,32
329,NA,1302,32
342,NA,1256,32
339,NA,1257,32
330,NA,1258,32
321,NA,1257,35
317,NA,1267,35
259,NA,1273,37
268,NA,1275,37
269,NA,1265,39
269,NA,1255,40
268,NA,1251,42
273,NA,1263,44
378,NA,1247,NA
381,NA,1248,NA
381,NA,1216,NA
379,NA,1225,NA
380,NA,1230,NA
350,NA,1434,NA
354,NA,1422,NA
354,NA,1422,NA
352,NA,1420,NA
359,NA,1403,NA
363,NA,1401,NA
320,NA,1249,NA
324,NA,1245,NA
318,NA,1227,NA
315,NA,1234,NA
311,NA,1238,NA
418,NA,1338,NA
