"rgn_id","pressure","value","year","rgn_name"
1,"art_fish",0.00045454285713883,2003,"Cocos Islands"
2,"art_fish",0.00126466849585553,2003,"Christmas Island"
3,"art_fish",0.000411848099738803,2003,"Norfolk Island"
4,"art_fish",0,2003,"Macquarie Island"
5,"art_fish",0.00267773371379351,2003,"New Caledonia"
6,"art_fish",0.0161431421555682,2003,"Vanuatu"
7,"art_fish",0.0126450299838301,2003,"Solomon Islands"
8,"art_fish",0.00330019415094982,2003,"Palau"
9,"art_fish",0.00345974039536991,2003,"Micronesia"
10,"art_fish",0.000384876064580539,2003,"Nauru"
11,"art_fish",0.00133450866100517,2003,"Marshall Islands"
12,"art_fish",5.37878288032998e-05,2003,"Wake Island"
13,"art_fish",1.15072043771666e-05,2003,"Northern Mariana Islands and Guam"
14,"art_fish",0.000753212529660236,2003,"Taiwan"
15,"art_fish",0.0560978567251274,2003,"Philippines"
16,"art_fish",0.00574896790428957,2003,"Australia"
17,"art_fish",0.0454719794740116,2003,"Papua New Guinea"
18,"art_fish",0.0182004528877162,2003,"Fiji"
19,"art_fish",0.00461346023834997,2003,"Tuvalu"
20,"art_fish",0.00838402405557685,2003,"South Korea"
21,"art_fish",0.00365339420061245,2003,"North Korea"
24,"art_fish",0.0051115952871488,2003,"Cambodia"
25,"art_fish",0.0359342131168479,2003,"Thailand"
26,"art_fish",0.019399994292433,2003,"Andaman and Nicobar"
28,"art_fish",0.000670451218667375,2003,"Comoro Islands"
29,"art_fish",3.93319939297785e-05,2003,"Mayotte"
30,"art_fish",0.00468238462380571,2003,"Glorioso Islands"
31,"art_fish",0.0021709829761873,2003,"Seychelles"
32,"art_fish",3.72760335142531e-05,2003,"Reunion"
33,"art_fish",0.00437608956832888,2003,"Juan de Nova Island"
34,"art_fish",0.00172190069862607,2003,"Bassas da India"
35,"art_fish",0.00148763351894038,2003,"Ile Europa"
36,"art_fish",0.000717429344391658,2003,"Ile Tromelin"
37,"art_fish",0.000927440489189394,2003,"Mauritius"
38,"art_fish",0,2003,"British Indian Ocean Territory"
39,"art_fish",0.0177534541321385,2003,"Maldives"
40,"art_fish",0.00755768480280977,2003,"Sri Lanka"
41,"art_fish",0.0361416928327841,2003,"Mozambique"
42,"art_fish",0.0245338148222468,2003,"Madagascar"
43,"art_fish",0.0399482959381093,2003,"Kenya"
44,"art_fish",0.00022637426943143,2003,"Somalia"
45,"art_fish",0.0942764297100862,2003,"Eritrea"
46,"art_fish",0.219146000077442,2003,"Djibouti"
47,"art_fish",0.0334915866718367,2003,"Yemen"
48,"art_fish",0.00983398398594639,2003,"Oman"
49,"art_fish",0.0473234027614352,2003,"Sudan"
50,"art_fish",0.0396834552573506,2003,"Saudi Arabia"
51,"art_fish",0.024013877816638,2003,"Kuwait"
52,"art_fish",0.026655906694094,2003,"Bahrain"
53,"art_fish",0.0253616872866632,2003,"Pakistan"
54,"art_fish",0.0152264445377263,2003,"United Arab Emirates"
55,"art_fish",0.00196532283480541,2003,"Azores"
56,"art_fish",0.00434470667021952,2003,"Cape Verde"
57,"art_fish",0.00124009245636572,2003,"Madeira"
58,"art_fish",0.00685328461745328,2003,"Canary Islands"
59,"art_fish",0.02395708642608,2003,"Belgium"
60,"art_fish",0.0449996022526439,2003,"Gibraltar"
61,"art_fish",0.0535306432795944,2003,"Tunisia"
62,"art_fish",0.0169193865511712,2003,"Morocco"
63,"art_fish",0.00570138699548155,2003,"Western Sahara"
64,"art_fish",0.0146315771167271,2003,"Mauritania"
65,"art_fish",0.00245928019518269,2003,"Gambia"
66,"art_fish",0.00611889639140554,2003,"Senegal"
67,"art_fish",0.0358504138651213,2003,"Libya"
68,"art_fish",0.00356567764073594,2003,"Malta"
69,"art_fish",0.0187898114590273,2003,"Latvia"
70,"art_fish",0.0290652848637036,2003,"Estonia"
71,"art_fish",0.0244350402302586,2003,"Bulgaria"
72,"art_fish",0.00572446926704444,2003,"Romania"
73,"art_fish",0.00867086035786433,2003,"Russia"
74,"art_fish",0.0226129228714462,2003,"Georgia"
75,"art_fish",0.0238863862267681,2003,"Ukraine"
76,"art_fish",0.0350364093714205,2003,"Turkey"
77,"art_fish",0.0726147270341003,2003,"Syria"
78,"art_fish",0.0366664764081097,2003,"Lebanon"
79,"art_fish",0.0211943509494948,2003,"Israel"
80,"art_fish",0.0273865729279832,2003,"Greece"
81,"art_fish",0.0105472352535522,2003,"Cyprus"
82,"art_fish",0.0623536448793602,2003,"Albania"
84,"art_fish",0.0320535143418707,2003,"Algeria"
85,"art_fish",0.000265766030348906,2003,"Ascension"
86,"art_fish",0,2003,"Saint Helena"
88,"art_fish",0.000735513946965798,2003,"Tristan da Cunha"
89,"art_fish",0,2003,"South Georgia and the South Sandwich Islands"
