"rgn_id","pressure","value","rgn_type","type_w_ant","rgn_ant_id","rgn_name"
1,"art_fish",-2.23484456375639e-05,"eez","eez",1,"Cocos Islands"
2,"art_fish",-0.0042631043187232,"eez","eez",2,"Christmas Island"
3,"art_fish",-0.000142038059952009,"eez","eez",3,"Norfolk Island"
4,"art_fish",0,"eez","eez",4,"Macquarie Island"
5,"art_fish",-0.00428834351979328,"eez","eez",5,"New Caledonia"
6,"art_fish",-0.000543305048184306,"eez","eez",6,"Vanuatu"
7,"art_fish",0.00337179559312293,"eez","eez",7,"Solomon Islands"
8,"art_fish",-0.00442586981762513,"eez","eez",8,"Palau"
9,"art_fish",-0.00446190680543672,"eez","eez",9,"Micronesia"
10,"art_fish",0.000432121706508364,"eez","eez",10,"Nauru"
11,"art_fish",0.0144693356790668,"eez","eez",11,"Marshall Islands"
12,"art_fish",-0.00840723279518364,"eez","eez",12,"Wake Island"
13,"art_fish",9.08766836564099e-05,"eez","eez",13,"Northern Mariana Islands and Guam"
14,"art_fish",6.89054941211671e-06,"eez","eez",14,"Taiwan"
15,"art_fish",-0.00250201882219218,"eez","eez",15,"Philippines"
16,"art_fish",-0.00060249559388058,"eez","eez",16,"Australia"
17,"art_fish",-0.00698499684840722,"eez","eez",17,"Papua New Guinea"
18,"art_fish",-0.00228841575292642,"eez","eez",18,"Fiji"
19,"art_fish",-0.00840844746814835,"eez","eez",19,"Tuvalu"
20,"art_fish",-0.000613477779532441,"eez","eez",20,"South Korea"
21,"art_fish",-0.000820078320473659,"eez","eez",21,"North Korea"
24,"art_fish",-7.04584719711776e-06,"eez","eez",24,"Cambodia"
25,"art_fish",-0.0023215844345621,"eez","eez",25,"Thailand"
26,"art_fish",-0.00204523916553091,"eez","eez",26,"Andaman and Nicobar"
28,"art_fish",-0.00221928355136441,"eez","eez",28,"Comoro Islands"
29,"art_fish",1.91290457141722e-05,"eez","eez",29,"Mayotte"
30,"art_fish",-0.000646464120892977,"eez","eez",30,"Glorioso Islands"
31,"art_fish",0.00196382344430264,"eez","eez",31,"Seychelles"
32,"art_fish",0.000442493108732782,"eez","eez",32,"Reunion"
33,"art_fish",-8.25311819260771e-05,"eez","eez",33,"Juan de Nova Island"
34,"art_fish",0.00165892309748856,"eez","eez",34,"Bassas da India"
35,"art_fish",0.00210361689196675,"eez","eez",35,"Ile Europa"
36,"art_fish",-0.00282728297969014,"eez","eez",36,"Ile Tromelin"
37,"art_fish",0.00075329789881052,"eez","eez",37,"Mauritius"
38,"art_fish",0.00321193689892207,"eez","eez",38,"British Indian Ocean Territory"
39,"art_fish",-0.00236173824963252,"eez","eez",39,"Maldives"
40,"art_fish",-0.000877514248540279,"eez","eez",40,"Sri Lanka"
41,"art_fish",0.000110555364022423,"eez","eez",41,"Mozambique"
42,"art_fish",-0.00111471827156253,"eez","eez",42,"Madagascar"
43,"art_fish",-0.00459224447315227,"eez","eez",43,"Kenya"
44,"art_fish",-5.3575997069155e-05,"eez","eez",44,"Somalia"
45,"art_fish",-9.87083491524642e-05,"eez","eez",45,"Eritrea"
46,"art_fish",-0.00692517411426998,"eez","eez",46,"Djibouti"
47,"art_fish",-0.00116912944280548,"eez","eez",47,"Yemen"
48,"art_fish",-0.000468256451232672,"eez","eez",48,"Oman"
49,"art_fish",-0.00369282101505827,"eez","eez",49,"Sudan"
50,"art_fish",-0.00142069600969242,"eez","eez",50,"Saudi Arabia"
51,"art_fish",-0.000900876037047738,"eez","eez",51,"Kuwait"
52,"art_fish",-0.000697739623896704,"eez","eez",52,"Bahrain"
