"rgn_id","pressure","value","year","rgn_name"
104,"art_fish",0.00699851386846883,2010,"Equatorial Guinea"
105,"art_fish",0,2010,"Bouvet Island"
106,"art_fish",0.00429759335996988,2010,"Ghana"
107,"art_fish",1.04589217266859e-07,2010,"Clipperton Island"
108,"art_fish",0.00126581513950738,2010,"Bermuda"
110,"art_fish",0.0160731467872792,2010,"Bahamas"
111,"art_fish",2.59896235970773e-05,2010,"Turks and Caicos Islands"
112,"art_fish",0.0320159095862292,2010,"Cuba"
113,"art_fish",0.00742302503960771,2010,"Cayman Islands"
114,"art_fish",0.0658279424158082,2010,"Haiti"
115,"art_fish",0.0143680256060314,2010,"Dominican Republic"
116,"art_fish",0.0036852968589169,2010,"Puerto Rico and Virgin Islands of the United States"
117,"art_fish",0.00155893916479078,2010,"British Virgin Islands"
118,"art_fish",1.03940806276726e-05,2010,"Anguilla"
119,"art_fish",0.0381920224083701,2010,"Saint Kitts and Nevis"
120,"art_fish",0.00372716328147997,2010,"Antigua and Barbuda"
121,"art_fish",0.0142014476765806,2010,"Montserrat"
122,"art_fish",0.0259139252640044,2010,"Saint Lucia"
123,"art_fish",0.000693981645472853,2010,"Dominica"
124,"art_fish",0.00285238799687091,2010,"Barbados"
125,"art_fish",0.0103781909615564,2010,"Grenada"
126,"art_fish",0.0155856910329939,2010,"Trinidad and Tobago"
127,"art_fish",0.016185366643878,2010,"Saint Vincent and the Grenadines"
129,"art_fish",0.0346830465254423,2010,"Panama"
130,"art_fish",0.00856156513711768,2010,"Costa Rica"
131,"art_fish",0.0460215533261059,2010,"Nicaragua"
132,"art_fish",0.0121882754282264,2010,"Colombia"
133,"art_fish",0.0340409673213869,2010,"Honduras"
134,"art_fish",0.0117333983278434,2010,"El Salvador"
135,"art_fish",0.00953995690847141,2010,"Mexico"
136,"art_fish",0.00891580916970625,2010,"Guatemala"
137,"art_fish",0.00593532595576751,2010,"Ecuador"
138,"art_fish",0.00597762209815739,2010,"Peru"
139,"art_fish",0.0233095126396295,2010,"Venezuela"
140,"art_fish",0.000533682758326408,2010,"Guadeloupe and Martinique"
141,"art_fish",0.00160210346708037,2010,"Faeroe Islands"
143,"art_fish",0.00792162945230698,2010,"Iceland"
144,"art_fish",0.00200665922177071,2010,"Jan Mayen"
145,"art_fish",0.00868718688222446,2010,"Greenland"
146,"art_fish",0,2010,"Pitcairn"
147,"art_fish",9.43569275302482e-06,2010,"French Polynesia"
148,"art_fish",0.0016945768438731,2010,"Line Islands (Kiribati)"
149,"art_fish",0.000445997228685621,2010,"Jarvis Island"
150,"art_fish",0.00115086295337879,2010,"Palmyra Atoll"
151,"art_fish",0.000856227547234676,2010,"American Samoa"
152,"art_fish",0.0173017587699662,2010,"Samoa"
153,"art_fish",0,2010,"Cook Islands"
154,"art_fish",0,2010,"Niue"
155,"art_fish",0.00429168001325716,2010,"Tonga"
156,"art_fish",0,2010,"Tokelau"
157,"art_fish",0.00284209020087476,2010,"Phoenix Islands (Kiribati)"
158,"art_fish",0.00164840012602021,2010,"Howland Island and Baker Island"
159,"art_fish",0.000679681996384412,2010,"Johnston Atoll"
161,"art_fish",5.92786480690739e-07,2010,"Wallis and Futuna"
162,"art_fish",0.00324770475881205,2010,"New Zealand"
163,"art_fish",0.00421837956971328,2010,"United States"
164,"art_fish",0.11101904354895,2010,"Belize"
166,"art_fish",0.0109833625708266,2010,"Jamaica"
167,"art_fish",0.00322837827415601,2010,"Guyana"
168,"art_fish",0.00708438926101529,2010,"Suriname"
169,"art_fish",0.00295518912363743,2010,"French Guiana"
171,"art_fish",0.00495745909212393,2010,"Brazil"
172,"art_fish",0.0112410349236797,2010,"Argentina"
173,"art_fish",0.00455394519833856,2010,"Uruguay"
174,"art_fish",0.0143156183466277,2010,"Finland"
175,"art_fish",0.0100265624222324,2010,"Denmark"
176,"art_fish",0.00846171718226432,2010,"Germany"
177,"art_fish",0.0015491060355313,2010,"Netherlands"
178,"art_fish",0.0176477775706611,2010,"Poland"
179,"art_fish",0.0188400059371268,2010,"France"
180,"art_fish",0.0129663467940545,2010,"United Kingdom"
181,"art_fish",0.00611592584851364,2010,"Ireland"
182,"art_fish",0.0116560259727792,2010,"Spain"
183,"art_fish",0.00360104573429179,2010,"Portugal"
184,"art_fish",0.0165921057696542,2010,"Italy"
185,"art_fish",0.0113620626300208,2010,"Monaco"
186,"art_fish",0.0194464514046666,2010,"Montenegro"
187,"art_fish",0.0312218239365781,2010,"Croatia"
188,"art_fish",0.0578264024368552,2010,"Slovenia"
189,"art_fish",0.00965890771591403,2010,"Lithuania"
190,"art_fish",0.0132372567174592,2010,"Qatar"
191,"art_fish",0.0338367924294716,2010,"Iran"
192,"art_fish",0.0356350864348455,2010,"Iraq"
193,"art_fish",0.00550923022752888,2010,"Guinea Bissau"
194,"art_fish",0.0102634526530138,2010,"Guinea"
195,"art_fish",0.00982102734831473,2010,"Ivory Coast"
196,"art_fish",0.10854846689071,2010,"Nigeria"
197,"art_fish",0.109705123724198,2010,"Cameroon"
198,"art_fish",0.0345344593563635,2010,"Gabon"
199,"art_fish",0.0124170600635692,2010,"Democratic Republic of the Congo"
200,"art_fish",0.0168139726158199,2010,"Angola"
202,"art_fish",0.0409364588790415,2010,"Tanzania"
203,"art_fish",0.0077200064771385,2010,"India"
204,"art_fish",0.0202550565245739,2010,"Bangladesh"
205,"art_fish",0.00332593651290624,2010,"Myanmar"
206,"art_fish",0.0293316558697003,2010,"Malaysia"
207,"art_fish",0.00895914390650557,2010,"Vietnam"
208,"art_fish",0.0864739325598523,2010,"Singapore"
209,"art_fish",0.0109313607791141,2010,"China"
210,"art_fish",0.00606276123300757,2010,"Japan"
212,"art_fish",0.00407972174461673,2010,"Gilbert Islands (Kiribati)"
214,"art_fish",0.0318023376999377,2010,"Egypt"
215,"art_fish",0.362329323102932,2010,"Jordan"
216,"art_fish",0.0252236580543505,2010,"Indonesia"
218,"art_fish",0.00486703773974384,2010,"Canada"
219,"art_fish",0.0163137781050167,2010,"Saint Pierre and Miquelon"
220,"art_fish",0.000126016668063846,2010,"Sint Maarten"
221,"art_fish",0.00315642176745377,2010,"Northern Saint-Martin"
222,"art_fish",0.0160760376948961,2010,"Sweden"
223,"art_fish",0.0118329887601297,2010,"Norway"
224,"art_fish",0.00538793974491514,2010,"Chile"
227,"art_fish",0.119828952778016,2010,"Jersey"
228,"art_fish",0.0193591138382164,2010,"Guernsey"
231,"art_fish",0.0939125699555903,2010,"East Timor"
232,"art_fish",0.116618509997021,2010,"Bosnia and Herzegovina"
237,"art_fish",0.0687184009121331,2010,"Oecussi Ambeno"
244,"art_fish",0.0240039375240737,2010,"Curacao"
245,"art_fish",0.0182932941422694,2010,"Bonaire"
247,"art_fish",0.0766081652163159,2010,"Brunei"
248,"art_fish",0,2010,"Saba"
249,"art_fish",0.000782657427604736,2010,"Sint Eustatius"
250,"art_fish",0.0390043250531657,2010,"Aruba"
1,"dem_dest",0.000234482472323416,2010,"Cocos Islands"
2,"dem_dest",0.000260315417372518,2010,"Christmas Island"
3,"dem_dest",9.99987579635873e-05,2010,"Norfolk Island"
4,"dem_dest",0.0001636361228744,2010,"Macquarie Island"
5,"dem_dest",8.60723139861964e-05,2010,"New Caledonia"
6,"dem_dest",0.000494236005824413,2010,"Vanuatu"
7,"dem_dest",0.00112835612793089,2010,"Solomon Islands"
8,"dem_dest",0.000235735716728314,2010,"Palau"
9,"dem_dest",0.000446790251393451,2010,"Micronesia"
10,"dem_dest",0.000710681438456684,2010,"Nauru"
11,"dem_dest",0.000432679519328935,2010,"Marshall Islands"
12,"dem_dest",0.000307510211705933,2010,"Wake Island"
13,"dem_dest",0.000236528348591081,2010,"Northern Mariana Islands and Guam"
14,"dem_dest",0.0384140653542841,2010,"Taiwan"
15,"dem_dest",0.0216576199390394,2010,"Philippines"
16,"dem_dest",0.00186290163895517,2010,"Australia"
17,"dem_dest",0.00139759530041435,2010,"Papua New Guinea"
18,"dem_dest",0.00101856665090281,2010,"Fiji"
19,"dem_dest",0.000299355915151418,2010,"Tuvalu"
20,"dem_dest",0.0558550274598486,2010,"South Korea"
21,"dem_dest",0.0272983681675074,2010,"North Korea"
24,"dem_dest",0.261581769968083,2010,"Cambodia"
25,"dem_dest",0.108242594929822,2010,"Thailand"
26,"dem_dest",0.0106147422681357,2010,"Andaman and Nicobar"
28,"dem_dest",0.000370312876379289,2010,"Comoro Islands"
29,"dem_dest",0.00104996729376396,2010,"Mayotte"
30,"dem_dest",0.000300841725116002,2010,"Glorioso Islands"
31,"dem_dest",0.000298414019875393,2010,"Seychelles"
32,"dem_dest",0.000465815136962219,2010,"Reunion"
33,"dem_dest",0.000823787915024458,2010,"Juan de Nova Island"
34,"dem_dest",0.00034950480824398,2010,"Bassas da India"
35,"dem_dest",0.000299763332591975,2010,"Ile Europa"
36,"dem_dest",0.000219175954442228,2010,"Ile Tromelin"
37,"dem_dest",0.000310735999334547,2010,"Mauritius"
38,"dem_dest",0.000355195468904435,2010,"British Indian Ocean Territory"
39,"dem_dest",0.00114846867631791,2010,"Maldives"
