"","TaxonName","CommonName","FleetGearName","bycatch","destruction","TaxonKey","FunctionalGroupDescription","fish_type"
"1","Dicentrarchus","European/spotted seabass","Trawl midwater","high","non-destructive",502682,"Large demersals (>=90 cm)","pelagic"
"2","Siganus","Rabbitfishes","Trap","high","non-destructive",500240,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"3","Euthynnus affinis","Kawakawa","Gillnet","high","non-destructive",600096,"Large pelagics (>=90 cm)","pelagic"
"4","Thunnus albacares","Yellowfin tuna","Pole and Line Tuna","low","non-destructive",600143,"Large pelagics (>=90 cm)","pelagic"
"5","Merluccius gayi gayi","South Pacific hake","Lines Non-tuna","low","non-destructive",600324,"Medium bathydemersals (30 - 89 cm)","demersal"
"6","Merluccius hubbsi","Argentine hake","Lines Non-tuna","low","non-destructive",600325,"Medium benthopelagics (30 - 89 cm)","pelagic"
"7","Diplodus","Seabreams and porgies","Lines Non-tuna","low","non-destructive",500705,"Medium benthopelagics (30 - 89 cm)","pelagic"
"8","Thunnus alalunga","Albacore","Pole and Line Tuna","low","non-destructive",600142,"Large pelagics (>=90 cm)","pelagic"
"9","Mustelus","Smooth-hounds","Gillnet","high","non-destructive",500348,"Large sharks (>=90 cm)","pelagic"
"10","Ascidiacea","Sea squirts","Other","low","non-destructive",290005,"Other demersal invertebrates","demersal"
"11","Xiphias gladius","Swordfish","LonglineTuna","high","non-destructive",600226,"Large pelagics (>=90 cm)","pelagic"
"12","Clupeiformes","Herrings","Trawl","high","destructive",300028,"Small pelagics (<30 cm)","demersal"
"13","Gadus morhua","Atlantic cod","Trawl midwater","high","non-destructive",600069,"Large benthopelagics (>=90 cm)","pelagic"
"14","Trichiurus lepturus","Largehead hairtail","Trawl","high","destructive",601288,"Large benthopelagics (>=90 cm)","demersal"
"15","Miscellaneous marine molluscs","Marine molluscs","Other","low","non-destructive",NA,NA,"demersal"
"16","Scomberomorus niphonius","Japanese Spanish mackerel","Gillnet","high","non-destructive",600131,"Large pelagics (>=90 cm)","pelagic"
"17","Mya arenaria","Sand gaper","Other","low","non-destructive",690337,"Other demersal invertebrates","demersal"
"18","Rajiformes","Skates and rays","Trawl","high","destructive",300014,"Large rays (>=90 cm)","demersal"
"19","Perciformes","Perch-likes","Lines Non-tuna","low","non-destructive",300060,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"20","Pseudotolithus","Croakers","Lines Non-tuna","low","non-destructive",503152,"Large demersals (>=90 cm)","demersal"
"21","Scombridae","Mackerels tunas bonitos","Gillnet","high","non-destructive",400416,"Large pelagics (>=90 cm)","pelagic"
