"pressure","positive_trend","negative_trend","countries_positive_trend","global_3nm_trend","global_trend"
"dem_dest",96,124,0.436363636363636,-0.00047,-3e-05
"dem_nondest_hb",97,123,0.440909090909091,-0.00028,-1e-05
"dem_nondest_lb",121,99,0.55,-9e-05,1e-05
"pel_lb",107,113,0.486363636363636,3e-05,0
"pel_hb",90,130,0.409090909090909,5e-05,2e-05
"art_fish",97,123,0.440909090909091,0.00013,1e-05
"direct_human",155,65,0.704545454545455,3e-04,0
"organic",78,142,0.354545454545455,0.00039,1e-05
"nutrient",97,123,0.440909090909091,0.00066,2e-05
"light",198,22,0.9,0.00121,2e-05
"shipping",202,18,0.918181818181818,0.00168,0.00253
"oa",218,2,0.990909090909091,0.00372,0.00675
"sst",173,47,0.786363636363636,0.0146,0.03245
"slr",197,23,0.895454545454546,0.01531,0.00059
"chi_trend",190,30,0.863636363636364,0.03724,0.04234
