"rgn","pressure","value"
"cpps","art_fish",0
"cpps","direct_human",0
"cpps","nutrient",0
"cpps","organic",0
"cpps","light",2.87015376171834e-08
"cpps","dem_nondest_lb",2.24138602308522e-07
"cpps","dem_nondest_hb",7.71850912270976e-07
"cpps","dem_dest",1.94933443523751e-06
"cpps","slr",6.06954467676742e-06
"cpps","pel_hb",0.00016544126123309
"cpps","pel_lb",0.000887120931330736
"cpps","shipping",0.0443289662833099
"cpps","sst",0.276666043006671
"cpps","oa",0.29804309809503
"cpps","chi",0.620099713197318
