"pressure","cpps","global","wio"
"art_fish",0,0.001,0
"chi",0.6201,1.07966,0.93475
"dem_dest",0,0.00335,1e-04
"dem_nondest_hb",0,0.00214,3e-05
"dem_nondest_lb",0,0.00092,0
"direct_human",0,0.00144,0
"light",0,0.00035,0
"nutrient",0,0.00341,0
"oa",0.29804,0.38203,0.28649
"organic",0,0.00108,0
"pel_hb",0.00017,0.00302,0.00034
"pel_lb",0.00089,0.00099,0.00013
"shipping",0.04433,0.12309,0.06221
"slr",1e-05,0.01199,0.00014
"sst",0.27667,0.54554,0.58531
