"ocean_region","rgn_name","area_km2","chi","sst","oa","slr","shipping","pel_hb","pel_lb","dem_dest","dem_nondest_hb","dem_nondest_lb","art_fish","nutrient","organic","light","direct_human"
"wio","Ile Europa",125624,0.7034,0.3856,0.2482,1e-04,0.0693,1e-04,1e-04,0,0,0,0,0,0,0,0
"wio","Amsterdam Island and Saint Paul Island",509822,0.777,0.4545,0.2983,0,0.0241,0,0,0,0,0,0,0,0,0,0
"wio","British Indian Ocean Territory",642745,0.8256,0.5095,0.2144,0.0096,0.092,0,0,0,0,0,0,0,0,0,0
"wio","South Africa",1069378,0.8324,0.3151,0.265,0.0068,0.2311,3e-04,6e-04,6e-04,6e-04,1e-04,1e-04,0.0082,0.0018,5e-04,0.0016
"wio","Bassas da India",122177,0.8386,0.4369,0.2466,5e-04,0.1543,2e-04,2e-04,0,0,0,0,0,0,0,0
"wio","Mozambique",574410,0.8654,0.4343,0.2202,0.0365,0.1443,0,0,0.0076,0,0,0.003,0.0114,0.0034,2e-04,0.0044
"wio","Maldives",922110,0.8927,0.5945,0.1713,0.01,0.1097,2e-04,0.0029,2e-04,2e-04,3e-04,1e-04,0,0,2e-04,0.0031
"wio","Western Indian Ocean",NA,0.9347,0.5853,0.2865,1e-04,0.0622,3e-04,1e-04,1e-04,0,0,0,0,0,0,0
"wio","Glorioso Islands",43699,0.9414,0.6113,0.2417,0.0019,0.084,0.0015,3e-04,4e-04,1e-04,1e-04,0,0,0,0,0
"wio","Juan de Nova Island",62551,0.9609,0.5675,0.2406,3e-04,0.1515,6e-04,2e-04,2e-04,0,0,0,0,0,0,0
"wio","Crozet Islands",574392,0.979,0.3912,0.5721,6e-04,0.0152,0,0,0,0,1e-04,0,0,0,0,0
"wio","Mayotte",63362,1.0084,0.6185,0.2365,0.0079,0.1252,0.0093,0.0038,8e-04,8e-04,0.0013,6e-04,0,0,7e-04,0.0031
"wio","Prince Edward Islands",473182,1.0191,0.4545,0.5448,2e-04,0.0189,0,0,0,0,0,0,5e-04,1e-04,0,0
"wio","Somalia",784502,1.026,0.7241,0.206,0.0118,0.0778,1e-04,0,0.0021,0,0,3e-04,0.0016,5e-04,0,0.0016
"wio","weighted average of eez regions",10904217,1.0322,0.642,0.2701,0.0085,0.1045,4e-04,4e-04,0.0013,1e-04,1e-04,6e-04,0.0023,6e-04,1e-04,0.0014
"wio","Comoro Islands",165505,1.0431,0.685,0.23,0.0024,0.1155,0.0011,4e-04,7e-04,7e-04,0.001,0.002,0.0019,2e-04,0,0.0021
"wio","Seychelles",1340839,1.0746,0.7559,0.242,0.0054,0.0692,0.0011,1e-04,6e-04,0,0,0,0,0,0,1e-04
"wio","Tanzania",243130,1.1068,0.7775,0.2129,0.0234,0.0548,0.0023,0.0011,0.0078,0,0,0.0094,0.0086,0.001,3e-04,0.0077
"wio","Kenya",112400,1.177,0.8759,0.2086,0.0131,0.0378,6e-04,3e-04,0.0012,2e-04,0,0.0025,0.0251,0.0063,3e-04,0.0052
"wio","Ile Tromelin",271997,1.1802,0.8527,0.2521,0,0.0752,0,1e-04,0,0,0,0,0,0,0,0
"wio","Mauritius",1280068,1.1808,0.8009,0.2614,0.0027,0.1136,3e-04,1e-04,1e-04,2e-04,0,1e-04,7e-04,8e-04,0,2e-04
"wio","Madagascar",1205825,1.2177,0.8197,0.2565,0.0171,0.1159,1e-04,1e-04,0.003,0,0,7e-04,0.0015,2e-04,0,0.0029
"wio","Reunion",316499,1.8875,1.3766,0.2745,4e-04,0.2348,1e-04,1e-04,0,0,0,0,0,0,3e-04,6e-04
